state,fips,district,Income (In 2011 Inflation-Adjusted Dollars):Median Household Income,Income (In 2011 Inflation-Adjusted Dollars):Median Household IncomeMOE,Housing Occupancy:Occupied Housing Units,Housing Occupancy:Occupied Housing UnitsMOE,Housing Occupancy:Total Housing Units,Housing Occupancy:Total Housing UnitsMOE,Housing Occupancy:Vacant Housing Units,Housing Occupancy:Vacant Housing UnitsMOE,Age:10 to 14 years,Age:10 to 14 yearsMOE,Age:15 to 19 years,Age:15 to 19 yearsMOE,Age:20 to 24 years,Age:20 to 24 yearsMOE,Age:25 to 34 years,Age:25 to 34 yearsMOE,Age:35 to 44 years,Age:35 to 44 yearsMOE,Age:45 to 54 years,Age:45 to 54 yearsMOE,Age:5 to 9 years,Age:5 to 9 yearsMOE,Age:55 to 59 years,Age:55 to 59 yearsMOE,Age:60 to 64 years,Age:60 to 64 yearsMOE,Age:65 years and over,Age:65 years and overMOE,Age:Total Population,Age:Total PopulationMOE,Age:Under 5 years,Age:Under 5 yearsMOE,Veteran Status:Civilian Population 18 Years and Over,Veteran Status:Civilian Population 18 Years and OverMOE,Veteran Status:Civilian Veterans,Veteran Status:Civilian VeteransMOE,Sex:Female,Sex:FemaleMOE,Sex:Male,Sex:MaleMOE,Sex:Total Population,Sex:Total PopulationMOE,Educational Attainment:9th to 12th Grade No Diploma,Educational Attainment:9th to 12th Grade No DiplomaMOE,Educational Attainment:Associate's Degree,Educational Attainment:Associate's DegreeMOE,Educational Attainment:Bachelor's Degree,Educational Attainment:Bachelor's DegreeMOE,Educational Attainment:Graduate or Professional Degree,Educational Attainment:Graduate or Professional DegreeMOE,Educational Attainment:High School Graduate (Includes Equivalency),Educational Attainment:High School Graduate (Includes Equivalency)MOE,Educational Attainment:Less than 9th Grade,Educational Attainment:Less than 9th GradeMOE,Educational Attainment:Percent Bachelor's Degree or Higher,Educational Attainment:Percent Bachelor's Degree or HigherMOE,Educational Attainment:Percent High School Graduate or Higher,Educational Attainment:Percent High School Graduate or HigherMOE,Educational Attainment:Population 25 Years and Over,Educational Attainment:Population 25 Years and OverMOE,Educational Attainment:Some College No Degree,Educational Attainment:Some College No DegreeMOE,Race:American Indian and Alaska Native,Race:American Indian and Alaska NativeMOE,Race:Asian,Race:AsianMOE,Race:Black or African American,Race:Black or African AmericanMOE,Race:Native Hawaiian and Other Pacific Islander,Race:Native Hawaiian and Other Pacific IslanderMOE,Race:One Race,Race:One RaceMOE,Race:Some Other Race,Race:Some Other RaceMOE,Race:Total Population,Race:Total PopulationMOE,Race:Two or More Races,Race:Two or More RacesMOE,Race:White,Race:WhiteMOE,Hispanic or Latino Origin:Hispanic or Latino (of any race),Hispanic or Latino Origin:Hispanic or Latino (of any race)MOE,Hispanic or Latino Origin:Not Hispanic or Latino,Hispanic or Latino Origin:Not Hispanic or LatinoMOE,Hispanic or Latino Origin:Total Population,Hispanic or Latino Origin:Total PopulationMOE,Housing Tenure:Occupied Housing Units,Housing Tenure:Occupied Housing UnitsMOE,Housing Tenure:Owner-Occupied Housing Units,Housing Tenure:Owner-Occupied Housing UnitsMOE,Housing Tenure:Renter-Occupied Housing Units,Housing Tenure:Renter-Occupied Housing UnitsMOE,Population:Total Population,Population:Total PopulationMOE
South Carolina,45,03,39922,1455,247569,4762,301899,2293,54330,4776,44426,3197,45627,2498,50048,3290,77230,3945,81856,3400,93029,2906,39052,2844,45087,2402,45522,2488,101969,1905,666024,7202,42178,2170,516068,4531,52169,3089,336942,4744,329082,4161,666024,7202,53466,4240,38986,3474,56949,4369,27351,3747,147789,6167,31382,2751,19,1.3,80.9,1.2,444693,4345,88770,4658,1394,604,4836,1160,117576,4086,614,958,649310,7277,6618,2417,666024,7202,16714,3434,518272,7224,26858,3362,639166,7314,666024,7202,247569,4762,178771,4298,68798,4520,666024,7202
South Carolina,45,04,45108,2143,254465,4218,288120,2333,33655,3529,44238,3111,47451,2000,46026,1967,84147,2321,90833,3031,97115,2886,44433,3227,43444,2734,37931,2412,88891,1817,671222,7805,46713,1632,508222,5189,50916,3411,346747,4785,324475,3937,671222,7805,40434,3425,39020,4045,77602,4996,44221,4108,123593,6387,25584,2636,27.5,1.4,85.1,1,442361,4219,91907,5296,1839,847,14981,813,132321,4404,0,217,658234,7817,7254,2519,671222,7805,12988,2873,501839,7990,49855,2877,621367,8145,671222,7805,254465,4218,170936,4061,83529,3949,671222,7805
South Carolina,45,05,41942,1316,253743,3382,287323,2274,33580,3485,40912,3002,46980,2517,40532,2746,78623,3060,91488,2975,94199,2171,48797,2964,44997,2883,41059,2719,92201,1632,662829,4822,43041,1754,500014,3904,55750,3633,340610,3690,322219,3618,662829,4822,51795,3681,38633,3396,63053,5413,30729,3186,140689,5886,27259,2604,21.2,1.3,82.1,1,442567,3961,90409,4810,2389,735,7062,1085,184956,4243,35,66,654861,5127,12388,2851,662829,4822,7968,1499,448031,4662,27050,1869,635779,4997,662829,4822,253743,3382,181620,4422,72123,4276,662829,4822
South Carolina,45,06,31313,967,237806,5424,295878,5175,58072,4154,39631,3639,54706,3421,67309,4882,91325,4395,74459,4350,90395,4023,36149,3796,43853,3471,38524,3216,84944,3354,667523,15162,46228,3155,513724,10926,50197,3477,340343,9070,327180,8611,667523,15162,60217,3890,29198,2812,46557,3835,22687,2402,144357,6064,33692,3407,16.4,1.1,77.8,1,423500,8762,86792,4546,2037,899,6336,1639,379552,12224,0,217,657438,15208,13032,2947,667523,15162,10085,2258,256481,8998,31396,4006,636127,14472,667523,15162,237806,5424,144367,4633,93439,4117,667523,15162
South Carolina,45,07,36940,1016,254835,6209,368346,1040,113511,6299,44584,2823,43894,2078,44390,2560,75072,3262,86786,2557,90323,1950,37944,2951,46779,3121,49684,3022,107650,969,667752,2903,40646,712,519334,2422,60268,4184,346972,2664,320780,2864,667752,2903,51212,4249,36437,4072,62384,6251,28094,2986,165482,7531,25593,2805,19.8,1.5,83.2,1,456294,3051,87092,5545,2389,652,6486,1130,197899,4500,68,119,655767,4800,12511,3619,667752,2903,11985,3788,436414,3739,25853,549,641899,2985,667752,2903,254835,6209,178764,5064,76071,4453,667752,2903
South Dakota,46,00,48321,1598,323215,3255,366521,278,43306,3341,54352,2593,59036,2142,58756,2405,104412,1851,96172,1824,115573,1631,55802,2661,52597,2555,48809,2509,120025,917,824082,0,58548,769,618454,1379,70027,3431,413577,2116,410505,2116,824082,0,28408,3021,52340,3457,97956,4222,43678,3213,168906,4945,22219,1880,26.3,1,90.6,0.6,537588,1811,124081,4449,71532,2373,7855,869,9517,1203,63,71,803942,2746,7031,1805,824082,0,20140,2746,707944,2394,22899,1246,801183,1246,824082,0,323215,3255,221382,3961,101833,4336,824082,0
Tennessee,47,01,37197,1730,290801,3701,346870,1248,56069,3777,46269,2770,41302,1553,43863,1998,80469,2123,92646,1771,104736,1727,39612,2843,49746,2740,50044,2586,121392,1008,707424,2314,37345,1559,557780,2070,63836,3534,363077,2743,344347,2843,707424,2314,51973,3665,29269,2708,56357,3844,32943,2959,189201,5533,40972,3422,17.9,0.9,81.4,1,499033,2717,98318,3872,1923,449,3789,909,16297,1581,175,219,695433,2930,5688,2710,707424,2314,11991,2088,667561,3773,22525,1977,684899,3179,707424,2314,290801,3701,204708,4829,86093,4120,707424,2314
Tennessee,47,02,43576,1951,289152,3810,320846,1543,31694,3405,46451,3139,47598,1922,54809,1449,88932,1758,90878,1744,103340,1672,40356,3051,46673,2604,46270,2656,107239,964,712089,2595,39543,797,557873,2036,54153,3740,365675,2027,346414,2176,712089,2595,38059,3036,37603,3191,81596,5110,52404,4030,151946,5723,23964,2613,27.7,1.1,87.2,0.8,483332,2256,97760,4709,1375,692,11995,2297,49028,2067,41,73,701163,3714,5229,2380,712089,2595,10926,2225,633495,3687,21624,614,690465,2531,712089,2595,289152,3810,197766,4459,91386,4322,712089,2595
Tennessee,47,03,38020,1526,281450,3816,321675,2479,40225,3521,44303,2917,44056,1880,46403,2492,84117,2409,92359,2229,105303,1906,41874,2992,53199,2958,46776,3173,115354,2073,715757,4285,42013,1531,561617,3875,57182,3642,366796,3553,348961,3469,715757,4285,52306,4227,30917,3095,62532,3761,36337,2864,172260,5973,34044,3050,19.9,1,82.6,1,497108,4021,108712,5164,2088,1192,8115,723,77958,2311,92,145,705053,5058,6066,1941,715757,4285,10704,2518,610734,5131,24077,1057,691680,4390,715757,4285,281450,3816,197981,4676,83469,4108,715757,4285
Tennessee,47,04,42506,1522,264202,4559,298838,2555,34636,4185,46922,3567,52414,2965,50427,3071,93424,3096,94597,2524,99725,2466,48030,3302,45057,3225,42301,3191,90370,2444,708356,6000,45089,1969,538317,4894,49922,3409,356248,3939,352108,3996,708356,6000,44774,3662,30317,3744,66593,5516,29579,4310,158521,5944,33827,3429,20.7,1.6,83.1,1.1,465474,4382,101863,6826,2714,1907,9594,1178,58864,2463,0,208,689527,6457,6996,2352,708356,6000,18829,2658,611359,6187,37925,1681,670431,5749,708356,6000,264202,4559,185733,4266,78469,4809,708356,6000
Tennessee,47,05,43623,1728,283405,4079,317988,1263,34583,3875,38992,2606,41922,1014,58319,1130,125809,805,96725,925,97574,1239,45441,2598,46282,2246,36181,2201,77137,1180,713990,2272,49608,514,556492,1699,47550,3414,367891,1578,346099,1565,713990,2272,44543,3631,24631,2452,100579,4555,55366,3870,130510,6847,23686,3229,32.5,1.2,85.8,1.1,479708,1448,100393,4548,1995,794,18371,1981,177217,1893,310,338,696674,3974,35940,5043,713990,2272,17316,3081,462841,5210,65054,443,648936,2310,713990,2272,283405,4079,159101,4148,124304,4297,713990,2272
Tennessee,47,06,41842,1406,275551,3480,311743,1315,36192,3518,50076,2637,49369,2644,42092,2280,81732,2427,95415,2165,105661,2035,44257,2779,47962,2810,46579,2859,107731,1688,713928,2512,43054,1719,545329,2177,56904,3230,366359,2757,347569,2500,713928,2512,49565,4048,30613,3263,61271,4236,30607,3606,184878,6669,31154,2835,18.9,1.1,83.4,0.9,485080,2097,96992,4829,3230,1225,5394,760,31312,1979,77,134,704571,3448,8460,2510,713928,2512,9357,2196,656098,3605,26098,932,687830,2604,713928,2512,275551,3480,201894,3899,73657,4120,713928,2512
Tennessee,47,07,46442,2409,262427,3821,304149,1533,41722,3836,53871,2915,47414,1452,44166,2418,91793,3653,94552,2622,106656,2509,53107,2973,45503,2918,40782,2782,90930,1588,714187,3787,45413,1309,520029,3610,61314,4171,360991,2787,353196,3045,714187,3787,45494,3682,28466,3219,75850,4487,38973,3409,158175,6307,27198,2893,24.4,1.2,84.5,0.8,470216,2591,96060,4884,3525,1888,9374,1287,69666,3413,680,109,696256,4425,5740,2199,714187,3787,17931,3100,607271,4412,30792,1505,683395,3551,714187,3787,262427,3821,191418,4220,71009,4313,714187,3787
Tennessee,47,08,48792,2028,257572,4514,293320,3215,35748,3681,53760,3507,54099,2509,41924,2271,75546,3983,91466,3425,105260,3178,44844,3424,48620,2912,46867,2919,101220,2412,706748,6383,43142,2057,530378,5572,56065,3146,363276,4294,343472,4645,706748,6383,39911,2880,23489,2694,82481,5023,48985,3183,152684,5715,23049,2000,28,1.2,86.6,0.8,468979,5135,98380,4983,790,497,11911,2199,137789,6635,924,1095,695664,6120,4294,1272,706748,6383,11084,2543,539956,7077,18584,2004,688164,6454,706748,6383,257572,4514,189761,5098,67811,3508,706748,6383
Tennessee,47,09,36142,1129,262868,4467,313696,3067,50828,3717,51334,3321,53747,2112,59999,1635,110141,3397,93072,2982,95529,2770,45751,3421,41889,2770,37171,2667,67660,2615,710874,6377,54581,1833,528452,5347,39481,3240,374089,4407,336785,4104,710874,6377,47786,3907,24060,2621,68292,4560,33153,3345,137711,6008,24217,2928,22.8,1.2,83.8,1,445462,4657,110243,5749,1092,802,13743,2051,453332,6354,0,208,697538,6410,28618,4038,710874,6377,13336,3032,200753,7878,49628,1811,661246,6402,710874,6377,262868,4467,131714,4212,131154,4922,710874,6377
Texas,48,01,41834,1313,256961,3903,299778,2245,42817,3295,47971,3064,51780,2608,54541,2553,87182,3025,82277,2306,92050,2747,51186,2659,42437,2595,42165,2570,101610,1961,703177,3940,49978,1551,525234,3001,52380,3472,359758,3256,343419,2888,703177,3940,43776,3686,32022,3105,59494,4016,28519,2859,134293,5740,33195,3349,19.7,1,82.8,0.9,447721,3772,116422,5814,2354,840,7326,722,129720,3007,196,264,695688,4164,14243,3921,703177,3940,7489,1909,541849,5506,115287,2223,587890,3809,703177,3940,256961,3903,174701,4782,82260,5027,703177,3940
Texas,48,02,69181,3286,254606,7986,280098,8194,25492,4367,47257,5982,54948,5850,45796,5024,116490,8648,111308,8420,92919,5044,50908,6172,45906,4494,38881,3654,62849,4910,721185,30094,53923,5384,533982,19582,40398,3813,358182,16324,363003,16581,721185,30094,26699,3836,31445,3803,116302,6627,63437,6421,100027,9045,30569,4954,38.4,1.9,87.8,1.3,468353,17456,99874,7820,3583,1942,46352,6145,91077,12050,401,684,704723,29912,57468,9840,721185,30094,16462,3955,505842,27624,213120,19249,508065,24053,721185,30094,254606,7986,158023,5691,96583,6201,721185,30094
Texas,48,03,83724,3794,263517,4300,278049,2341,14532,3664,58185,4787,48363,3004,38154,2052,102927,3422,121049,2813,112369,3038,59454,5256,37905,3662,35279,3451,60418,2571,728269,5505,54166,1760,524123,4030,40578,4115,368768,3682,359501,3771,728269,5505,17771,3401,33537,5230,160355,8167,81222,4865,67793,6874,15814,2721,51.4,1.9,92.9,0.9,469947,3784,93455,7049,3278,1208,91881,2525,59698,4423,396,396,706214,6586,17368,4125,728269,5505,22055,4371,533593,7766,106211,5064,622058,5753,728269,5505,263517,4300,173655,5397,89862,4644,728269,5505
Texas,48,04,46846,1428,254156,4167,299490,2768,45334,3800,49473,2722,50926,2689,41060,2435,82091,3337,89668,3221,103190,2983,51869,3763,45720,2592,42270,2865,104148,2289,704984,6262,44569,1647,527871,5252,56442,3735,359248,4220,345736,4156,704984,6262,46791,3206,32938,2986,63192,4466,29219,3373,153385,6026,26648,2331,19.8,1.3,84.3,0.8,467087,5395,114914,5345,5786,1433,6504,1119,81064,4272,1060,985,689420,6534,24220,3705,704984,6262,15564,2260,570786,6474,88757,3895,616227,5917,704984,6262,254156,4167,183377,5124,70779,3854,704984,6262
Texas,48,05,42887,1836,245401,4492,285542,4850,40141,3201,54125,3842,49124,3629,45465,3410,96893,5070,96515,4361,99473,4619,55271,3974,42236,3802,38018,2472,86050,3439,719368,12673,56198,3960,522865,9142,42368,2412,362202,7737,357166,8458,719368,12673,60911,4818,25244,2450,56557,3607,26741,2948,142544,7321,40829,4604,18.1,1,77.8,1.4,459185,7871,106359,5005,3073,1413,12175,2953,99288,8374,1819,1851,702333,12825,40865,7243,719368,12673,17035,2841,545113,13043,189744,12558,529624,11551,719368,12673,245401,4492,157888,3546,87513,4165,719368,12673
Texas,48,06,55788,1838,249163,5140,274203,5348,25040,3116,58254,4607,54329,3817,50902,4307,103950,5761,103758,5919,99261,4554,53364,4293,40002,3096,37842,3127,66069,3416,722452,14054,54721,3948,521430,10043,45139,3574,364983,9295,357469,8725,722452,14054,34650,3654,33077,3446,84543,5120,37111,3369,118923,5143,22565,3246,27,1.3,87.3,1.1,450882,9228,120013,6459,5144,1788,37998,5799,139301,9978,204,203,706311,13917,24864,7170,722452,14054,16141,2834,498800,15204,163905,13289,558547,13057,722452,14054,249163,5140,166612,5456,82551,4519,722452,14054
Texas,48,07,63282,3392,275793,7766,304675,8078,28882,4334,51577,5633,38179,3822,49500,5207,123597,9145,111275,7655,99710,6283,56789,5863,44817,4106,31486,3109,65383,4565,726696,27750,54383,6046,538864,17475,28898,3640,361333,15503,365363,15984,726696,27750,23433,3751,31829,4916,132720,8460,84706,5995,75885,7277,33709,5529,45.7,2,88,1.3,476268,15686,93986,6260,1606,1120,70586,10609,90613,12767,1540,1491,706240,27408,68049,12820,726696,27750,20456,4963,473846,22424,228726,20829,497970,20711,726696,27750,275793,7766,143219,5681,132574,6259,726696,27750
Texas,48,08,56919,2171,245032,5431,284077,4226,39045,4266,50262,4637,52363,2939,45694,2661,89539,4527,100140,3841,109063,4557,55000,5164,47167,4332,37530,3554,83843,2196,720727,11767,50126,2882,535065,7641,47355,4448,353723,6365,367004,6694,720727,11767,41646,4475,28045,4099,82535,4851,39889,5651,135202,7754,26298,4003,26.2,1.4,85.5,1.3,467282,7540,113667,8373,3318,2335,14483,2658,57715,5750,0,218,702654,12882,19268,4998,720727,11767,18073,3850,607870,15116,145913,6804,574814,10045,720727,11767,245032,5431,174242,5235,70790,5329,720727,11767
Texas,48,09,41354,1451,235688,7147,277357,7412,41669,3746,50718,4689,48380,5481,57665,4502,110834,8879,97877,7339,92727,6573,53023,5996,40460,4342,30598,3756,54868,4125,691497,24911,54347,5290,503677,17814,24601,3324,359259,13502,332238,14426,691497,24911,42309,5057,23134,3495,67882,5615,28437,3406,105408,7711,63020,7207,22.5,1.5,75.4,1.8,427364,15453,97174,6110,1442,868,64675,8308,266732,15335,0,218,677121,25408,72136,11570,691497,24911,14376,3932,272136,19035,257356,21320,434141,17983,691497,24911,235688,7147,122741,5790,112947,6322,691497,24911
Texas,48,10,58080,2457,255466,7607,289414,7812,33948,4122,50690,4366,47665,4334,41989,4950,101414,8681,105012,7346,97963,4840,55589,6431,45869,4083,34993,3214,75643,4370,709456,24998,52629,5583,522209,16553,40604,3163,354193,12659,355263,14753,709456,24998,32188,4430,34629,4175,108658,7290,53999,4333,109766,6747,25800,3542,35.3,1.5,87.4,1.2,460894,14732,95854,7376,2985,1658,35252,6359,69113,7525,0,218,692281,24287,51285,10985,709456,24998,17175,4191,533646,20640,184046,13874,525410,19122,709456,24998,255466,7607,169098,6563,86368,5150,709456,24998
Texas,48,11,44607,1399,261228,4168,321356,2960,60128,3550,45772,3035,51872,2563,47165,2556,88852,2798,80190,2459,93940,1909,52697,3326,46486,2888,39432,2670,105051,2180,700744,5087,49287,1306,520230,4382,54495,2814,353345,3892,347399,3783,700744,5087,48469,3704,26452,2574,60508,3099,25398,2863,135551,5852,44090,2956,18.9,0.9,79.6,1,453951,3626,113483,5326,3374,1057,4983,1318,27773,2081,110,132,687246,5373,30974,4702,700744,5087,13498,2241,620032,7585,238370,3748,462374,4160,700744,5087,261228,4168,181414,4916,79814,4094,700744,5087
Texas,48,12,56155,1742,262217,5869,296698,5748,34481,4007,53889,5828,47037,3751,47800,3897,102779,5563,103341,5240,99143,4913,49988,4708,45256,3820,36045,2662,74833,3888,710406,15831,50295,3773,524682,11157,56168,3845,366854,10835,343552,8225,710406,15831,35943,5083,30606,3390,88710,5757,40510,3938,121453,6092,19354,3248,28,1.4,88,1.2,461397,10246,124821,6413,8806,7758,19288,4803,55282,6724,554,702,690702,15204,16187,3665,710406,15831,19704,4403,590585,14922,148578,11807,561828,13990,710406,15831,262217,5869,168365,5476,93852,4737,710406,15831
Texas,48,13,45739,1085,252387,3765,299861,2595,47474,2944,50647,2525,51610,2032,49587,2019,90740,2491,83716,2660,96192,2475,48849,2598,44455,2435,37639,2460,94969,1577,698612,5074,50208,1253,513617,4039,51543,2674,344222,3477,354390,3119,698612,5074,46944,3410,33773,2669,60954,3264,26957,2143,136185,4714,29945,2424,19.6,0.9,82.8,0.8,447711,3350,112953,4279,5459,1250,11982,1030,38535,2009,390,238,677211,6013,18902,3607,698612,5074,21401,3274,601943,6077,177215,3114,521397,4161,698612,5074,252387,3765,176297,3713,76090,3454,698612,5074
Texas,48,14,50178,2121,254973,3824,299013,2879,44040,2761,49211,2992,47908,2351,47944,2025,98103,2595,91209,3186,107268,2592,46812,3070,45446,2333,39527,2534,83106,2062,708198,8116,51664,1745,529131,6329,49050,2799,348985,4517,359213,4664,708198,8116,42064,3501,38702,3766,70811,4603,33226,3178,136102,5533,29285,2979,22.4,1.2,84.6,1.1,464659,5375,114469,6008,1965,779,19144,1102,145728,5136,255,287,698369,8077,23325,4291,708198,8116,9829,2089,507952,6742,165025,4961,543173,7898,708198,8116,254973,3824,171100,4621,83873,4251,708198,8116
Texas,48,15,37000,1878,210578,5267,238622,4119,28044,3305,60553,3984,60468,3539,56889,3555,102129,3897,93620,4268,82532,3893,68673,4313,33671,2503,27500,2425,71357,3284,722529,15606,65137,4305,488495,9915,28707,2924,364127,8153,358402,9288,722529,15606,49576,3462,20364,2962,56955,4795,20923,2773,104002,5585,84528,6208,19,1.1,67.4,1.6,410809,7691,74461,5804,1378,661,9608,1374,12540,2115,70,85,713669,15745,38135,7645,722529,15606,8860,1995,651938,17500,579337,14999,143192,4294,722529,15606,210578,5267,146155,5050,64423,3807,722529,15606
Texas,48,16,41434,1709,230560,3824,245507,2430,14947,3000,61427,3482,55852,2481,59366,2053,98359,2687,91135,2788,90283,2285,51205,3873,37574,2706,30581,2221,76955,1718,707375,7682,54638,2839,487842,5150,45585,3877,362634,5120,344741,4588,707375,7682,37020,3526,31472,3767,63209,4441,32658,3156,98412,5161,63255,5545,22.6,1.2,76.4,1.6,424887,4062,98861,6168,2427,1031,8632,1035,26733,2226,1262,1259,690079,9068,78469,12090,707375,7682,17296,4425,572556,13281,560806,7955,146569,3007,707375,7682,230560,3824,136608,4610,93952,4653,707375,7682
Texas,48,17,41989,1667,254723,5199,301159,4462,46436,4151,47598,4297,61779,2722,91693,3938,103338,5503,83830,3746,87139,3335,45763,3436,35428,2588,33156,2828,75965,2823,710793,9349,45104,2376,545917,6630,45259,2966,360364,6778,350429,5713,710793,9349,33797,2723,31563,3150,71952,5143,40912,3541,113308,6182,26193,3116,26.9,1.3,85.7,0.9,418856,6564,101131,7025,3197,1100,28689,2877,95160,6133,107,138,696093,9405,29027,4928,710793,9349,14700,2724,539913,10112,162480,5886,548313,9182,710793,9349,254723,5199,141331,3899,113392,5263,710793,9349
Texas,48,18,37079,1990,240434,7323,285716,7507,45282,4113,45453,4638,54637,5458,57865,5081,123134,6421,93337,6927,88645,6316,52312,5655,38813,3387,31161,3332,57326,3461,707139,22165,64456,5177,512520,15587,29522,3349,360621,12979,346518,13776,707139,22165,62499,6268,22922,4013,53240,4493,30399,3172,120040,6308,56040,6005,19.3,1.3,72.6,1.6,432416,12846,87276,6244,3149,1906,27853,5506,273056,13960,0,218,694481,21808,57826,9224,707139,22165,12658,4385,332597,19282,289875,16700,417264,17875,707139,22165,240434,7323,118865,5181,121569,5595,707139,22165
Texas,48,19,41186,1096,250420,5014,290254,4135,39834,3442,47391,2632,56720,2028,70336,2023,96511,2529,83734,2073,89149,1710,48830,2878,41805,2143,33894,2369,89597,1648,708642,4824,50675,1147,531352,3240,47728,3491,350011,3516,358631,3644,708642,4824,48303,3488,26137,2334,61876,3414,29157,2662,124850,4874,40862,2948,20.9,0.9,79.5,1,434690,3374,103505,4854,4202,1373,9680,1044,43147,3279,717,635,686865,5115,41078,5234,708642,4824,21777,3410,588041,7364,245850,3763,462792,3822,708642,4824,250420,5014,159407,4558,91013,4439,708642,4824
Texas,48,20,42934,1901,242711,5932,266842,5906,24131,3287,57663,4889,56646,3818,58780,4042,112551,6724,95893,5915,91443,5656,53288,4472,35234,3618,33639,3522,69028,3768,716759,19257,52594,4398,513391,13631,56205,4320,362560,10270,354199,12029,716759,19257,43595,4492,29212,3441,65836,5171,35912,3714,113062,7056,44941,4807,23.2,1.4,79.8,1.2,437788,11455,105230,6043,5563,2974,18141,2886,33578,5103,246,352,691217,19391,69443,10301,716759,19257,25542,5635,564246,17640,475251,17075,241508,12993,716759,19257,242711,5932,137269,4279,105442,5881,716759,19257
Texas,48,21,57219,2207,292488,6421,329027,6175,36539,4043,40649,4543,47283,4146,60271,5161,112068,7063,90723,6307,100249,5553,42040,4511,43306,3764,47097,3745,97259,4587,723750,17389,42805,3991,565788,12624,69847,4888,366730,10083,357020,10802,723750,17389,22041,2640,31102,3358,140635,8069,73196,5654,87679,5793,18714,3059,43.6,1.5,91.7,0.8,490702,10604,117335,6720,3372,1486,19600,4158,24816,4947,970,567,703654,17092,37511,6864,723750,17389,20096,3928,617385,18237,200807,13688,522943,13196,723750,17389,292488,6421,167551,4965,124937,5794,723750,17389
Texas,48,22,81392,3187,236224,5692,255766,5316,19542,3620,59465,4561,50540,3912,38825,4091,97110,4672,116757,5752,106905,4777,61726,4632,40921,3515,34638,3617,61224,3470,720879,17389,52768,3478,514198,12453,35431,3611,362324,9566,358555,9874,720879,17389,26275,2912,36357,4888,119098,7671,60568,5087,89097,7021,22894,3886,39.3,2,89.3,1,457555,9848,103266,7198,2281,825,123337,5843,86171,10121,26,53,703004,16954,26674,7024,720879,17389,17875,4373,464515,14871,181566,13207,539313,14308,720879,17389,236224,5692,176909,4976,59315,5940,720879,17389
Texas,48,23,46232,2282,220360,6093,257245,5542,36885,3271,56544,4721,61621,4401,51413,3915,94530,6268,98043,4503,88472,5202,61854,5479,38458,3703,36864,3198,78304,3539,725874,18481,59771,4845,505858,12631,46107,3895,365567,10564,360307,10695,725874,18481,50613,3398,26795,3205,61644,5458,28167,2837,117177,7155,66792,4891,20.7,1.3,73,1.1,434671,11212,83483,5457,5688,1856,8857,3303,17518,3680,155,173,713206,18716,69564,10737,725874,18481,12668,3158,611424,18352,513852,16692,212022,10714,725874,18481,220360,6093,162701,5877,57659,4363,725874,18481
Texas,48,24,59229,2773,287155,5880,310625,6615,23470,3850,47521,4489,42966,4024,39608,4418,128433,7194,105988,6120,110899,5603,52848,5681,42310,4253,35167,3507,68065,4249,719185,12996,45380,4197,544966,10412,42606,3247,363606,8796,355579,10371,719185,12996,28084,3891,33875,3961,144521,7442,65001,5074,90028,4703,26185,4135,42.7,1.5,88.9,1.2,490862,9540,103168,6789,2307,836,73718,7280,78345,9016,1890,1181,700015,12997,49893,9654,719185,12996,19170,3661,493862,14277,175192,13350,543993,12654,719185,12996,287155,5880,145266,4736,141889,5778,719185,12996
Texas,48,25,57538,2330,251218,5649,289282,4944,38064,3611,51596,4217,50875,2956,55511,4875,91650,4814,98011,5105,96135,4305,51436,3727,47415,3734,37502,3201,84351,3204,714682,13220,50200,3077,518454,9104,58712,3940,358522,7988,356160,8053,714682,13220,28835,2881,29637,3418,103572,6521,59822,4302,108523,5650,20936,3042,35.9,1.4,89.1,1,455064,8751,103739,5808,5009,1440,18402,3556,53944,6799,1257,1542,699505,12963,17552,4024,714682,13220,15177,3209,603341,15729,120647,9008,594035,13406,714682,13220,251218,5649,170811,4849,80407,4541,714682,13220
Texas,48,26,75069,3326,245244,5864,265308,4671,20064,3860,59773,4551,51382,2695,51324,3147,100443,5191,114368,4763,105537,4988,59601,5267,38056,3370,29027,3412,54653,3214,722749,12886,58585,3273,512269,9856,45123,4367,367364,7671,355385,8178,722749,12886,17898,3413,37609,4585,125885,7841,53549,5233,88149,6595,11918,3332,40.6,1.9,93.3,1.1,442084,9966,107076,7317,5049,2334,36713,4936,47978,4839,441,684,699931,14434,15379,6478,722749,12886,22818,5421,594371,15602,116561,7004,606188,12509,722749,12886,245244,5864,175231,5486,70013,4654,722749,12886
Texas,48,27,45011,1795,248760,4057,303599,2116,54839,3655,50367,3053,53325,2846,44463,2089,86197,3157,84211,3035,98645,3390,51764,3327,46129,3381,41801,3299,95924,2307,701765,5331,48939,1539,517175,4060,53106,2981,354314,3668,347451,4425,701765,5331,46070,4118,30538,3002,56516,4109,29938,3023,138075,5968,44840,3542,19.1,0.9,79.9,1.2,452907,3983,106930,5113,3223,1454,9897,1219,36092,2805,449,495,680937,6520,29744,4898,701765,5331,20828,3626,601532,6960,356300,5660,345465,4250,701765,5331,248760,4057,160709,4185,88051,4332,701765,5331
